web-scraper-order	web-scraper-start-url	Date	Open	High	Low	Close	Volume	Market Cap
1522067380-165	https://coinmarketcap.com/currencies/bitcoin/historical-data/?start=20171226&end=20180326	25-Mar-18	"8,612.81"	"8,682.01"	"8,449.10"	"8,495.78"	"4,569,880,000"	"145,882,000,000"
1522067380-157	https://coinmarketcap.com/currencies/bitcoin/historical-data/?start=20171226&end=20180326	24-Mar-18	"8,901.95"	"8,996.18"	"8,665.70"	"8,668.12"	"5,664,600,000"	"150,762,000,000"
1522067380-202	https://coinmarketcap.com/currencies/bitcoin/historical-data/?start=20171226&end=20180326	23-Mar-18	"8,736.25"	"8,879.62"	"8,360.62"	"8,879.62"	"5,954,120,000"	"147,941,000,000"
1522067380-173	https://coinmarketcap.com/currencies/bitcoin/historical-data/?start=20171226&end=20180326	22-Mar-18	"8,939.44"	"9,100.71"	"8,564.90"	"8,728.47"	"5,530,390,000"	"151,366,000,000"
1522067380-150	https://coinmarketcap.com/currencies/bitcoin/historical-data/?start=20171226&end=20180326	21-Mar-18	"8,937.48"	"9,177.37"	"8,846.33"	"8,929.28"	"6,043,130,000"	"151,316,000,000"
1522067380-214	https://coinmarketcap.com/currencies/bitcoin/historical-data/?start=20171226&end=20180326	20-Mar-18	"8,619.67"	"9,051.02"	"8,389.89"	"8,913.47"	"6,361,790,000"	"145,922,000,000"
1522067380-212	https://coinmarketcap.com/currencies/bitcoin/historical-data/?start=20171226&end=20180326	19-Mar-18	"8,344.12"	"8,675.87"	"8,182.40"	"8,630.65"	"6,729,110,000"	"141,240,000,000"
1522067380-139	https://coinmarketcap.com/currencies/bitcoin/historical-data/?start=20171226&end=20180326	18-Mar-18	"7,890.52"	"8,245.51"	"7,397.99"	"8,223.68"	"6,639,190,000"	"133,547,000,000"
1522067380-147	https://coinmarketcap.com/currencies/bitcoin/historical-data/?start=20171226&end=20180326	17-Mar-18	"8,321.91"	"8,346.53"	"7,812.82"	"7,916.88"	"4,426,150,000"	"140,834,000,000"
1522067380-217	https://coinmarketcap.com/currencies/bitcoin/historical-data/?start=20171226&end=20180326	16-Mar-18	"8,322.91"	"8,585.15"	"8,005.31"	"8,338.35"	"5,289,380,000"	"140,834,000,000"
1522067380-162	https://coinmarketcap.com/currencies/bitcoin/historical-data/?start=20171226&end=20180326	15-Mar-18	"8,290.76"	"8,428.35"	"7,783.05"	"8,300.86"	"6,834,430,000"	"140,275,000,000"
1522067380-132	https://coinmarketcap.com/currencies/bitcoin/historical-data/?start=20171226&end=20180326	14-Mar-18	"9,214.65"	"9,355.85"	"8,068.59"	"8,269.81"	"6,438,230,000"	"155,891,000,000"
1522067380-167	https://coinmarketcap.com/currencies/bitcoin/historical-data/?start=20171226&end=20180326	13-Mar-18	"9,173.04"	"9,470.38"	"8,958.19"	"9,194.85"	"5,991,140,000"	"155,168,000,000"
1522067380-207	https://coinmarketcap.com/currencies/bitcoin/historical-data/?start=20171226&end=20180326	12-Mar-18	"9,602.93"	"9,937.50"	"8,956.43"	"9,205.12"	"6,457,400,000"	"162,421,000,000"
1522067380-209	https://coinmarketcap.com/currencies/bitcoin/historical-data/?start=20171226&end=20180326	11-Mar-18	"8,852.78"	"9,711.89"	"8,607.12"	"9,578.63"	"6,296,370,000"	"149,716,000,000"
1522067380-138	https://coinmarketcap.com/currencies/bitcoin/historical-data/?start=20171226&end=20180326	10-Mar-18	"9,350.59"	"9,531.32"	"8,828.47"	"8,866.00"	"5,386,320,000"	"158,119,000,000"
1522067380-171	https://coinmarketcap.com/currencies/bitcoin/historical-data/?start=20171226&end=20180326	9-Mar-18	"9,414.69"	"9,466.35"	"8,513.03"	"9,337.55"	"8,704,190,000"	"159,185,000,000"
1522067380-179	https://coinmarketcap.com/currencies/bitcoin/historical-data/?start=20171226&end=20180326	8-Mar-18	"9,951.44"	"10,147.40"	"9,335.87"	"9,395.01"	"7,186,090,000"	"168,241,000,000"
1522067380-140	https://coinmarketcap.com/currencies/bitcoin/historical-data/?start=20171226&end=20180326	7-Mar-18	"10,803.90"	"10,929.50"	"9,692.12"	"9,965.57"	"8,797,910,000"	"182,631,000,000"
1522067380-148	https://coinmarketcap.com/currencies/bitcoin/historical-data/?start=20171226&end=20180326	6-Mar-18	"11,500.10"	"11,500.10"	"10,694.30"	"10,779.90"	"6,832,170,000"	"194,378,000,000"
1522067380-194	https://coinmarketcap.com/currencies/bitcoin/historical-data/?start=20171226&end=20180326	5-Mar-18	"11,532.40"	"11,704.10"	"11,443.90"	"11,573.30"	"6,468,540,000"	"194,903,000,000"
1522067380-185	https://coinmarketcap.com/currencies/bitcoin/historical-data/?start=20171226&end=20180326	4-Mar-18	"11,497.40"	"11,512.60"	"11,136.10"	"11,512.60"	"6,084,150,000"	"194,289,000,000"
