web-scraper-order	web-scraper-start-url	Date	Open	High	Low	Close	Volume	Market Cap
1520901503-40	https://coinmarketcap.com/currencies/ripple/historical-data/?start=20171213&end=20180313	31-Jan-18	1.13	1.19	1.04	1.16	"1,264,030,000"	"43,800,800,000"
1520901503-55	https://coinmarketcap.com/currencies/ripple/historical-data/?start=20171213&end=20180313	16-Jan-18	1.68	1.7	0.909313	1.18	"5,687,960,000"	"65,018,400,000"
1520901503-27	https://coinmarketcap.com/currencies/ripple/historical-data/?start=20171213&end=20180313	13-Feb-18	1.08	1.08	1.01	1.03	"921,100,000"	"42,119,800,000"
1520901503-56	https://coinmarketcap.com/currencies/ripple/historical-data/?start=20171213&end=20180313	15-Jan-18	1.86	1.9	1.67	1.68	"1,838,460,000"	"71,909,400,000"
1520901503-88	https://coinmarketcap.com/currencies/ripple/historical-data/?start=20171213&end=20180313	14-Dec-17	0.470648	0.892267	0.466401	0.864263	"6,358,700,000"	"18,232,500,000"
1520901503-4	https://coinmarketcap.com/currencies/ripple/historical-data/?start=20171213&end=20180313	8-Mar-18	0.872508	0.888562	0.825387	0.825857	"499,496,000"	"34,108,000,000"
1520901503-35	https://coinmarketcap.com/currencies/ripple/historical-data/?start=20171213&end=20180313	5-Feb-18	0.825943	0.833866	0.675827	0.691799	"1,286,180,000"	"32,219,400,000"
1520901503-82	https://coinmarketcap.com/currencies/ripple/historical-data/?start=20171213&end=20180313	20-Dec-17	0.787171	0.789044	0.730953	0.775964	"1,007,420,000"	"30,494,300,000"
1520901503-46	https://coinmarketcap.com/currencies/ripple/historical-data/?start=20171213&end=20180313	25-Jan-18	1.36	1.38	1.29	1.31	"986,068,000"	"52,811,100,000"
1520901503-13	https://coinmarketcap.com/currencies/ripple/historical-data/?start=20171213&end=20180313	27-Feb-18	0.959302	0.97258	0.944977	0.947305	"312,713,000"	"37,503,700,000"
1520901503-58	https://coinmarketcap.com/currencies/ripple/historical-data/?start=20171213&end=20180313	13-Jan-18	2.05	2.12	1.98	2.02	"2,130,170,000"	"79,469,700,000"
1520901503-1	https://coinmarketcap.com/currencies/ripple/historical-data/?start=20171213&end=20180313	11-Mar-18	0.795765	0.840407	0.775737	0.831122	"472,972,000"	"31,108,000,000"
1520901503-71	https://coinmarketcap.com/currencies/ripple/historical-data/?start=20171213&end=20180313	31-Dec-17	2.1	2.39	1.87	2.3	"4,642,080,000"	"81,162,600,000"
1520901503-87	https://coinmarketcap.com/currencies/ripple/historical-data/?start=20171213&end=20180313	15-Dec-17	0.86176	0.86176	0.666114	0.756181	"3,194,210,000"	"33,383,900,000"
1520901503-14	https://coinmarketcap.com/currencies/ripple/historical-data/?start=20171213&end=20180313	26-Feb-18	0.943704	0.970906	0.913403	0.956859	"458,613,000"	"36,893,900,000"
1520901503-66	https://coinmarketcap.com/currencies/ripple/historical-data/?start=20171213&end=20180313	5-Jan-18	3.3	3.56	2.83	3.05	"6,288,500,000"	"127,870,000,000"
1520901503-10	https://coinmarketcap.com/currencies/ripple/historical-data/?start=20171213&end=20180313	2-Mar-18	0.926638	0.933912	0.902286	0.910144	"271,036,000"	"36,226,700,000"
1520901503-49	https://coinmarketcap.com/currencies/ripple/historical-data/?start=20171213&end=20180313	22-Jan-18	1.39	1.43	1.16	1.36	"2,642,510,000"	"53,909,800,000"
1520901503-17	https://coinmarketcap.com/currencies/ripple/historical-data/?start=20171213&end=20180313	23-Feb-18	0.934176	1.03	0.898286	0.998855	"896,404,000"	"36,441,500,000"
1520901503-52	https://coinmarketcap.com/currencies/ripple/historical-data/?start=20171213&end=20180313	19-Jan-18	1.58	1.7	1.5	1.55	"3,697,430,000"	"61,291,900,000"
1520901503-28	https://coinmarketcap.com/currencies/ripple/historical-data/?start=20171213&end=20180313	12-Feb-18	1.01	1.11	1.01	1.08	"1,756,290,000"	"39,262,700,000"
1520901503-37	https://coinmarketcap.com/currencies/ripple/historical-data/?start=20171213&end=20180313	3-Feb-18	0.891992	0.974799	0.761635	0.924043	"1,988,960,000"	"34,795,900,000"
1520901503-9	https://coinmarketcap.com/currencies/ripple/historical-data/?start=20171213&end=20180313	3-Mar-18	0.908786	0.926512	0.903604	0.907804	"280,853,000"	"35,526,200,000"
1520901503-31	https://coinmarketcap.com/currencies/ripple/historical-data/?start=20171213&end=20180313	9-Feb-18	0.79714	0.954428	0.77154	0.954428	"1,690,340,000"	"31,095,800,000"
1520901503-70	https://coinmarketcap.com/currencies/ripple/historical-data/?start=20171213&end=20180313	1-Jan-18	2.3	2.39	2.15	2.39	"1,894,230,000"	"88,945,900,000"
1520901503-26	https://coinmarketcap.com/currencies/ripple/historical-data/?start=20171213&end=20180313	14-Feb-18	1.03	1.17	1.02	1.14	"1,457,600,000"	"40,026,500,000"
1520901503-44	https://coinmarketcap.com/currencies/ripple/historical-data/?start=20171213&end=20180313	27-Jan-18	1.22	1.24	1.19	1.22	"689,101,000"	"47,180,200,000"
1520901503-36	https://coinmarketcap.com/currencies/ripple/historical-data/?start=20171213&end=20180313	4-Feb-18	0.913418	0.952947	0.796821	0.815703	"1,190,960,000"	"35,631,700,000"
1520901503-89	https://coinmarketcap.com/currencies/ripple/historical-data/?start=20171213&end=20180313	13-Dec-17	0.372689	0.513768	0.342964	0.471063	"2,738,760,000"	"14,437,600,000"
1520901503-7	https://coinmarketcap.com/currencies/ripple/historical-data/?start=20171213&end=20180313	5-Mar-18	1.01	1.08	0.956116	0.959368	"1,706,820,000"	"39,650,700,000"
1520901503-50	https://coinmarketcap.com/currencies/ripple/historical-data/?start=20171213&end=20180313	21-Jan-18	1.58	1.58	1.34	1.38	"2,840,750,000"	"61,061,900,000"
1520901503-57	https://coinmarketcap.com/currencies/ripple/historical-data/?start=20171213&end=20180313	14-Jan-18	2.02	2.02	1.81	1.86	"1,978,200,000"	"78,195,800,000"
1520901503-16	https://coinmarketcap.com/currencies/ripple/historical-data/?start=20171213&end=20180313	24-Feb-18	0.997659	1.01	0.929456	0.954402	"489,920,000"	"39,003,300,000"
1520901503-23	https://coinmarketcap.com/currencies/ripple/historical-data/?start=20171213&end=20180313	17-Feb-18	1.14	1.22	1.13	1.2	"1,186,730,000"	"44,370,200,000"
1520901503-64	https://coinmarketcap.com/currencies/ripple/historical-data/?start=20171213&end=20180313	7-Jan-18	3.09	3.49	3.08	3.38	"2,395,150,000"	"119,819,000,000"
1520901503-61	https://coinmarketcap.com/currencies/ripple/historical-data/?start=20171213&end=20180313	10-Jan-18	2.13	2.16	1.7	1.97	"4,833,640,000"	"82,511,000,000"
1520901503-69	https://coinmarketcap.com/currencies/ripple/historical-data/?start=20171213&end=20180313	2-Jan-18	2.37	2.49	2.25	2.48	"3,171,010,000"	"91,791,800,000"
1520901503-80	https://coinmarketcap.com/currencies/ripple/historical-data/?start=20171213&end=20180313	22-Dec-17	1.17	1.38	0.741013	1.14	"4,644,700,000"	"45,189,500,000"
1520901503-47	https://coinmarketcap.com/currencies/ripple/historical-data/?start=20171213&end=20180313	24-Jan-18	1.35	1.42	1.31	1.36	"1,853,440,000"	"52,380,100,000"
1520901503-43	https://coinmarketcap.com/currencies/ripple/historical-data/?start=20171213&end=20180313	28-Jan-18	1.22	1.44	1.22	1.4	"1,327,360,000"	"47,412,500,000"
1520901503-85	https://coinmarketcap.com/currencies/ripple/historical-data/?start=20171213&end=20180313	17-Dec-17	0.754125	0.765981	0.719929	0.728366	"805,200,000"	"29,214,200,000"
1520901503-51	https://coinmarketcap.com/currencies/ripple/historical-data/?start=20171213&end=20180313	20-Jan-18	1.56	1.63	1.5	1.58	"2,346,450,000"	"60,543,000,000"
1520901503-79	https://coinmarketcap.com/currencies/ripple/historical-data/?start=20171213&end=20180313	23-Dec-17	1.17	1.21	1.08	1.17	"1,497,590,000"	"45,167,600,000"
1520901503-59	https://coinmarketcap.com/currencies/ripple/historical-data/?start=20171213&end=20180313	12-Jan-18	1.94	2.16	1.87	2.04	"3,330,810,000"	"75,172,500,000"
1520901503-76	https://coinmarketcap.com/currencies/ripple/historical-data/?start=20171213&end=20180313	26-Dec-17	1.12	1.19	1.09	1.19	"938,847,000"	"43,455,400,000"
1520901503-68	https://coinmarketcap.com/currencies/ripple/historical-data/?start=20171213&end=20180313	3-Jan-18	2.46	3.28	2.44	3.11	"6,635,880,000"	"95,457,200,000"
1520901503-74	https://coinmarketcap.com/currencies/ripple/historical-data/?start=20171213&end=20180313	28-Dec-17	1.39	1.5	1.26	1.43	"2,843,300,000"	"53,998,200,000"
1520901503-20	https://coinmarketcap.com/currencies/ripple/historical-data/?start=20171213&end=20180313	20-Feb-18	1.14	1.17	1.08	1.09	"806,673,000"	"44,648,100,000"
1520901503-29	https://coinmarketcap.com/currencies/ripple/historical-data/?start=20171213&end=20180313	11-Feb-18	1.07	1.08	0.929767	1	"2,555,310,000"	"41,635,500,000"
1520901503-18	https://coinmarketcap.com/currencies/ripple/historical-data/?start=20171213&end=20180313	22-Feb-18	1.01	1.05	0.922458	0.941788	"889,707,000"	"39,487,400,000"
1520901503-39	https://coinmarketcap.com/currencies/ripple/historical-data/?start=20171213&end=20180313	1-Feb-18	1.16	1.16	0.930378	0.96253	"1,410,420,000"	"44,971,500,000"
1520901503-63	https://coinmarketcap.com/currencies/ripple/historical-data/?start=20171213&end=20180313	8-Jan-18	3.36	3.36	2.07	2.46	"3,315,260,000"	"130,302,000,000"
