web-scraper-order,web-scraper-start-url,Date,Open,High,Low,Close,Volume,Market Cap
"1522069046-309","https://coinmarketcap.com/currencies/ethereum/historical-data/?start=20171226&end=20180326","Dec 27, 2017","774.97","789.25","738.41","762.84","2,100,030,000","74,854,100,000"
"1522069046-287","https://coinmarketcap.com/currencies/ethereum/historical-data/?start=20171226&end=20180326","Jan 18, 2018","1,016.44","1,100.31","967.76","1,036.28","5,938,320,000","98,642,100,000"
"1522069046-226","https://coinmarketcap.com/currencies/ethereum/historical-data/?start=20171226&end=20180326","Mar 20, 2018","556.72","567.09","521.20","557.18","1,833,680,000","54,722,100,000"
"1522069046-225","https://coinmarketcap.com/currencies/ethereum/historical-data/?start=20171226&end=20180326","Mar 21, 2018","559.10","589.61","550.57","561.73","1,781,270,000","54,967,300,000"
"1522069046-292","https://coinmarketcap.com/currencies/ethereum/historical-data/?start=20171226&end=20180326","Jan 13, 2018","1,270.47","1,432.88","1,270.47","1,396.42","5,746,760,000","123,163,000,000"
"1522069046-231","https://coinmarketcap.com/currencies/ethereum/historical-data/?start=20171226&end=20180326","Mar 15, 2018","614.84","620.62","579.51","611.30","1,770,460,000","60,371,800,000"
"1522069046-272","https://coinmarketcap.com/currencies/ethereum/historical-data/?start=20171226&end=20180326","Feb 02, 2018","1,035.77","1,035.77","757.98","915.79","6,713,290,000","100,836,000,000"
"1522069046-267","https://coinmarketcap.com/currencies/ethereum/historical-data/?start=20171226&end=20180326","Feb 07, 2018","790.43","851.20","723.43","757.07","3,896,180,000","77,032,000,000"
"1522069046-310","https://coinmarketcap.com/currencies/ethereum/historical-data/?start=20171226&end=20180326","Dec 26, 2017","763.37","786.79","760.94","773.84","2,201,160,000","73,717,800,000"
"1522069046-301","https://coinmarketcap.com/currencies/ethereum/historical-data/?start=20171226&end=20180326","Jan 04, 2018","961.71","1,045.08","946.09","980.92","6,502,860,000","93,049,400,000"
"1522069046-283","https://coinmarketcap.com/currencies/ethereum/historical-data/?start=20171226&end=20180326","Jan 22, 2018","1,055.35","1,089.10","930.74","1,003.26","3,810,100,000","102,504,000,000"
"1522069046-298","https://coinmarketcap.com/currencies/ethereum/historical-data/?start=20171226&end=20180326","Jan 07, 2018","1,043.01","1,153.17","1,043.01","1,153.17","5,569,880,000","100,981,000,000"
"1522069046-274","https://coinmarketcap.com/currencies/ethereum/historical-data/?start=20171226&end=20180326","Jan 31, 2018","1,071.09","1,128.66","1,034.50","1,118.31","3,757,560,000","104,231,000,000"
"1522069046-239","https://coinmarketcap.com/currencies/ethereum/historical-data/?start=20171226&end=20180326","Mar 07, 2018","816.27","825.61","726.55","752.83","2,175,420,000","80,017,300,000"
"1522069046-275","https://coinmarketcap.com/currencies/ethereum/historical-data/?start=20171226&end=20180326","Jan 30, 2018","1,184.13","1,184.63","1,058.97","1,071.13","4,107,860,000","115,207,000,000"
