web-scraper-order,web-scraper-start-url,#,Name,Market Cap,Price,Volume (24h),Circulating Supply,Change (24h),Price Graph (7d)
1522066368-46,https://coinmarketcap.com/,1,"BTC
Bitcoin","$137,887,639,798 ","$8,139.55 ","$4,984,510,000 ","16,940,450
BTC",-4.26%,
1522066368-64,https://coinmarketcap.com/,2,"ETH
Ethereum","$47,770,383,684 ",$485.34 ,"$1,347,660,000 ","98,425,825
ETH",-6.41%,
1522066368-54,https://coinmarketcap.com/,3,"XRP
Ripple","$23,363,843,967 ",$0.60 ,"$306,028,000 ","39,094,227,299
XRP

*",-5.88%,
1522066368-51,https://coinmarketcap.com/,4,"BCH
Bitcoin Cash","$15,634,023,672 ",$917.56 ,"$276,443,000 ","17,038,675
BCH",-5.87%,
1522066368-31,https://coinmarketcap.com/,5,"LTC
Litecoin","$8,402,817,828 ",$150.60 ,"$263,889,000 ","55,797,456
LTC",-5.08%,
1522066368-24,https://coinmarketcap.com/,6,"EOS
EOS","$4,488,324,137 ",$5.96 ,"$327,270,000 ","752,496,259
EOS

*",-9.26%,
1522066368-50,https://coinmarketcap.com/,7,"ADA
Cardano","$4,291,370,934 ",$0.17 ,"$93,626,200 ","25,927,070,538
ADA

*",-9.63%,
1522066368-82,https://coinmarketcap.com/,8,"XLM
Stellar","$4,174,235,342 ",$0.23 ,"$41,386,700 ","18,548,941,924
XLM

*",-3.08%,
1522066368-33,https://coinmarketcap.com/,9,"NEO
NEO","$3,772,561,000 ",$58.04 ,"$109,632,000 ","65,000,000
NEO

*",-9.86%,
1522066368-68,https://coinmarketcap.com/,10,"MIOTA
IOTA","$3,386,579,697 ",$1.22 ,"$25,957,200 ","2,779,530,283
MIOTA

*",-6.27%,
1522066368-79,https://coinmarketcap.com/,11,"DASH
Dash","$3,108,252,502 ",$390.07 ,"$98,397,400 ","7,968,448
DASH",-5.75%,
1522066368-18,https://coinmarketcap.com/,12,"XMR
Monero","$3,095,356,453 ",$195.10 ,"$26,304,800 ","15,865,649
XMR",-5.02%,
1522066368-40,https://coinmarketcap.com/,13,"TRX
TRON","$2,628,297,144 ",$0.04 ,"$311,189,000 ","65,748,192,476
TRX

*",-16.55%,
1522066368-8,https://coinmarketcap.com/,14,"XEM
NEM","$2,377,260,000 ",$0.26 ,"$77,752,200 ","8,999,999,999
XEM

*",-4.52%,
1522066368-2,https://coinmarketcap.com/,15,"USDT
Tether","$2,300,040,288 ",$1.01 ,"$1,700,200,000 ","2,287,140,814
USDT

*",0.38%,
1522066368-35,https://coinmarketcap.com/,16,"ETC
Ethereum Classic","$1,645,990,945 ",$16.34 ,"$132,765,000 ","100,763,440
ETC",-10.08%,
1522066368-95,https://coinmarketcap.com/,17,"VEN
VeChain","$1,616,907,645 ",$3.11 ,"$60,338,900 ","519,238,165
VEN

*",-4.07%,
1522066368-16,https://coinmarketcap.com/,18,"QTUM
Qtum","$1,435,931,110 ",$16.23 ,"$204,703,000 ","88,476,608
QTUM

*",-10.34%,
1522066368-56,https://coinmarketcap.com/,19,"ICX
ICON","$1,175,788,696 ",$3.04 ,"$106,710,000 ","387,042,508
ICX

*",-11.48%,
1522066368-11,https://coinmarketcap.com/,20,"BNB
Binance Coin","$1,118,333,426 ",$11.29 ,"$148,988,000 ","99,014,000
BNB

*",-15.40%,
1522066368-98,https://coinmarketcap.com/,21,"LSK
Lisk","$1,110,023,942 ",$10.75 ,"$18,480,400 ","103,219,634
LSK

*",-6.84%,
1522066368-36,https://coinmarketcap.com/,22,"OMG
OmiseGO","$1,020,066,328 ",$10.00 ,"$21,590,800 ","102,042,552
OMG

*",-7.30%,
1522066368-52,https://coinmarketcap.com/,23,"BTG
Bitcoin Gold","$941,472,075 ",$55.70 ,"$18,132,300 ","16,903,674
BTG",-7.63%,
1522066368-97,https://coinmarketcap.com/,24,"NANO
Nano","$910,001,869 ",$6.83 ,"$23,492,200 ","133,248,289
NANO

*",-10.39%,
1522066368-26,https://coinmarketcap.com/,25,"ZEC
Zcash","$806,936,672 ",$226.47 ,"$41,701,900 ","3,563,106
ZEC",-5.13%,
1522066368-94,https://coinmarketcap.com/,26,"DGD
DigixDAO","$675,526,000 ",$337.76 ,"$25,381,400 ","2,000,000
DGD

*",1.77%,
1522066368-74,https://coinmarketcap.com/,27,"PPT
Populous","$539,981,262 ",$14.59 ,"$2,287,370 ","37,004,027
PPT

*",-6.57%,
1522066368-47,https://coinmarketcap.com/,28,"XVG
Verge","$532,347,359 ",$0.04 ,"$27,445,500 ","14,756,642,655
XVG",-11.40%,
1522066368-48,https://coinmarketcap.com/,29,"STRAT
Stratis","$474,964,239 ",$4.81 ,"$10,276,500 ","98,791,787
STRAT

*",-5.24%,
1522066368-12,https://coinmarketcap.com/,30,"STEEM
Steem","$462,263,937 ",$1.82 ,"$1,967,060 ","254,682,455
STEEM

*",-7.88%,
1522066368-38,https://coinmarketcap.com/,31,"SC
Siacoin","$454,104,148 ",$0.01 ,"$19,793,900 ","33,366,458,084
SC",0.97%,
1522066368-80,https://coinmarketcap.com/,32,"BCN
Bytecoin","$452,333,068 ",$0.00 ,"$4,035,190 ","183,803,502,677
BCN",-5.30%,
1522066368-22,https://coinmarketcap.com/,33,"WAVES
Waves","$441,301,000 ",$4.41 ,"$20,177,300 ","100,000,000
WAVES


*",-4.56%,
