web-scraper-order,web-scraper-start-url,Date,Open,High,Low,Close,Volume,Market Cap
"1520905307-49","https://coinmarketcap.com/currencies/stellar/historical-data/?start=20171213&end=20180313","Feb 03, 2018","0.405950","0.478678","0.345184","0.430056","282,349,000","7,482,160,000"
"1520905307-101","https://coinmarketcap.com/currencies/stellar/historical-data/?start=20171213&end=20180313","Dec 13, 2017","0.154966","0.162841","0.140410","0.149342","107,122,000","2,765,100,000"
"1520905307-91","https://coinmarketcap.com/currencies/stellar/historical-data/?start=20171213&end=20180313","Dec 23, 2017","0.220812","0.263453","0.213736","0.234179","116,122,000","3,943,440,000"
"1520905307-29","https://coinmarketcap.com/currencies/stellar/historical-data/?start=20171213&end=20180313","Feb 23, 2018","0.364134","0.390408","0.352623","0.381985","56,829,000","6,724,760,000"
"1520905307-35","https://coinmarketcap.com/currencies/stellar/historical-data/?start=20171213&end=20180313","Feb 17, 2018","0.455103","0.483244","0.451585","0.479075","104,733,000","8,390,980,000"
"1520905307-39","https://coinmarketcap.com/currencies/stellar/historical-data/?start=20171213&end=20180313","Feb 13, 2018","0.396419","0.435547","0.374388","0.410614","196,175,000","7,306,910,000"
"1520905307-76","https://coinmarketcap.com/currencies/stellar/historical-data/?start=20171213&end=20180313","Jan 07, 2018","0.709730","0.744735","0.661080","0.699645","347,557,000","12,688,400,000"
"1520905307-54","https://coinmarketcap.com/currencies/stellar/historical-data/?start=20171213&end=20180313","Jan 29, 2018","0.632602","0.632602","0.583512","0.589283","118,507,000","11,303,400,000"
"1520905307-78","https://coinmarketcap.com/currencies/stellar/historical-data/?start=20171213&end=20180313","Jan 05, 2018","0.739457","0.791967","0.577509","0.662712","727,409,000","13,219,400,000"
"1520905307-30","https://coinmarketcap.com/currencies/stellar/historical-data/?start=20171213&end=20180313","Feb 22, 2018","0.393891","0.408898","0.358483","0.366447","69,561,100","7,274,300,000"
"1520905307-33","https://coinmarketcap.com/currencies/stellar/historical-data/?start=20171213&end=20180313","Feb 19, 2018","0.450437","0.461753","0.448995","0.452932","57,015,400","8,318,460,000"
"1520905307-27","https://coinmarketcap.com/currencies/stellar/historical-data/?start=20171213&end=20180313","Feb 25, 2018","0.354549","0.366940","0.336719","0.357302","42,268,800","6,547,760,000"
"1520905307-99","https://coinmarketcap.com/currencies/stellar/historical-data/?start=20171213&end=20180313","Dec 15, 2017","0.198565","0.204663","0.163988","0.195862","260,229,000","3,544,830,000"
"1520905307-90","https://coinmarketcap.com/currencies/stellar/historical-data/?start=20171213&end=20180313","Dec 24, 2017","0.236793","0.237185","0.198229","0.224450","71,071,600","4,228,850,000"
"1520905307-80","https://coinmarketcap.com/currencies/stellar/historical-data/?start=20171213&end=20180313","Jan 03, 2018","0.562720","0.919994","0.562572","0.896227","1,513,270,000","10,059,800,000"
"1520905307-98","https://coinmarketcap.com/currencies/stellar/historical-data/?start=20171213&end=20180313","Dec 16, 2017","0.196077","0.236646","0.190341","0.232125","234,173,000","3,500,490,000"
"1520905307-38","https://coinmarketcap.com/currencies/stellar/historical-data/?start=20171213&end=20180313","Feb 14, 2018","0.409872","0.457474","0.402079","0.453888","192,629,000","7,554,980,000"
"1520905307-89","https://coinmarketcap.com/currencies/stellar/historical-data/?start=20171213&end=20180313","Dec 25, 2017","0.226538","0.234519","0.212722","0.228511","71,737,300","4,045,700,000"
"1520905307-36","https://coinmarketcap.com/currencies/stellar/historical-data/?start=20171213&end=20180313","Feb 16, 2018","0.451796","0.458327","0.441777","0.455446","53,289,200","8,330,000,000"
"1520905307-26","https://coinmarketcap.com/currencies/stellar/historical-data/?start=20171213&end=20180313","Feb 26, 2018","0.358687","0.371765","0.346502","0.364579","42,535,600","6,624,170,000"
"1520905307-20","https://coinmarketcap.com/currencies/stellar/historical-data/?start=20171213&end=20180313","Mar 04, 2018","0.354031","0.363792","0.342398","0.361930","99,892,700","6,538,290,000"
